"model","year","transmission","mileage","fuelType","tax","mpg","engineSize","price"
5,2014,2,67068,2,125,57.6,2,11200
6,2018,2,14827,1,145,42.8,2,27000
5,2016,2,62794,2,160,51.4,3,16000
1,2017,2,26676,2,145,72.4,1.5,12750
7,2014,2,39554,2,160,50.4,3,14500
5,2016,2,35309,2,125,60.1,2,14900
5,2017,2,38538,2,125,60.1,2,16000
2,2018,1,10401,1,145,52.3,1.5,16250
4,2017,1,42668,2,30,62.8,2,14250
5,2016,2,36099,2,20,68.9,2,14250
18,2017,1,74907,2,145,52.3,2,15500
1,2017,1,29840,2,20,68.9,2,11800
18,2016,2,77823,2,125,54.3,2,15500
2,2015,1,31469,2,20,68.9,2,10500
18,2017,2,19057,2,145,54.3,2,22000
3,2017,1,16570,2,125,58.9,2,16500
3,2017,2,55594,5,135,148.7,2,14250
3,2017,2,45456,2,30,64.2,2,16000
1,2017,2,22812,2,20,68.9,1.5,15500
4,2014,2,47348,2,125,60.1,2,14000
1,2015,2,75124,2,20,70.6,2,9700
3,2015,2,78957,2,30,62.8,2,12600
3,2016,2,29213,2,30,64.2,2,15100
1,2016,1,44498,2,0,83.1,1.5,9400
1,2016,2,22461,2,20,67.3,2,14300
1,2016,1,23005,1,125,53.3,1.5,11200
3,2019,2,22310,2,145,64.2,2,17800
3,2016,2,51994,2,30,62.8,2,14400
20,2016,2,96213,2,165,52.3,2,19750
18,2015,2,50316,2,200,47.9,3,17400
4,2017,2,44011,2,150,65.7,2,16800
19,2017,2,34960,2,150,54.3,2,23000
9,2016,2,25269,5,0,470.8,0.6,17100
1,2017,2,24029,1,145,39.8,3,20500
1,2017,1,22920,1,145,53.3,1.5,11900
2,2017,2,61818,5,0,141.2,1.5,13000
3,2015,1,59634,2,125,61.4,2,11500
1,2016,1,29226,2,30,62.8,2,13500
16,2017,2,33514,2,145,60.1,2,18900
1,2018,2,6522,1,145,37.2,1.5,14600
3,2016,1,11231,1,145,47.9,2,15800
1,2016,1,21591,1,125,53.3,1.5,11400
18,2013,2,79972,2,200,47.1,3,12000
1,2018,2,14037,1,145,54.3,1.5,17500
5,2017,2,25034,2,200,47.9,3,23500
16,2016,2,44478,2,125,60.1,2,16700
18,2017,2,74852,2,150,47.1,3,18000
4,2016,2,45856,2,30,65.7,2,15500
1,2016,1,48858,2,0,83.1,1.5,9200
1,2017,1,40399,2,145,68.9,2,11200
1,2016,1,17393,2,30,65.7,2,13200
5,2014,2,84816,2,30,62.8,2,11000
3,2017,2,27139,2,160,51.4,3,18500
1,2017,2,91563,2,125,60.1,2,12750
3,2014,1,32139,1,205,43.5,2,14000
16,2017,2,54120,2,30,65.7,2,14000
16,2017,1,20925,2,150,68.9,2,14000
3,2016,1,30521,2,20,68.9,2,12750
16,2018,1,16066,1,150,51.4,1.5,18000
1,2015,1,11524,2,0,83.1,1.5,11100
1,2017,1,21809,1,145,53.3,1.5,12700
1,2017,2,27245,2,145,68.9,2,14500
3,2013,2,35736,2,125,58.9,2,12750
16,2017,2,55782,2,145,65.7,2,14100
1,2016,1,26404,1,125,53.3,1.5,10800
1,2016,1,26631,1,125,52.3,1.5,13000
1,2016,1,24111,1,145,47.1,1.6,12500
3,2017,1,22763,1,145,48.7,2,13600
3,2016,1,17385,2,20,72.4,2,12700
5,2016,2,35474,2,125,60.1,2,15600
4,2016,1,16584,2,30,62.8,2,15250
1,2018,1,30273,2,145,53.3,1.5,11700
2,2017,1,62021,2,145,65.7,2,10900
5,2016,2,51552,2,30,62.8,2,14400
1,2016,1,29508,1,125,53.3,1.5,11100
1,2017,1,30865,2,145,72.4,1.5,11100
5,2014,2,46356,2,30,62.8,2,12400
1,2016,1,18343,2,20,70.6,1.5,12800
5,2014,2,13858,2,125,57.6,2,15000
2,2017,1,33752,1,125,52.3,1.5,12750
18,2016,2,19083,2,150,54.3,2,21750
2,2017,2,46281,1,125,51.4,1.5,13900
16,2017,2,54183,2,150,65.7,2,14000
16,2017,2,36701,2,30,65.7,2,15200
3,2017,2,48082,1,150,51.4,2,13500
16,2016,1,77482,2,20,68.9,2,12150
2,2017,2,32389,5,0,141.2,1.5,16000
5,2016,2,39235,2,30,62.8,2,14000
3,2018,2,30703,2,145,57.6,2,19490
1,2015,3,20000,2,125,60.1,2,15499
2,2017,3,34971,2,150,72.4,1.5,13000
1,2014,3,44900,2,30,64.2,2,10600
18,2017,3,16945,2,150,54.3,2,23000
13,2016,3,34209,1,300,34,3,29998
1,2017,1,14138,2,20,72.4,1.5,12498
1,2015,1,74375,2,30,65.7,2,7948
16,2017,2,31238,2,145,55.4,2,17800
3,2015,1,37204,2,30,64.2,2,13100
1,2017,1,26265,2,0,83.1,1.5,11400
3,2016,2,38838,2,125,57.6,2,14800
18,2016,2,59692,2,145,54.3,2,15900
